CustomerID,Age,Gender,City,Annual_Income,Spending_Score,Visit_Frequency,Online_Shopping,Purchase
41,20,Female,Lahore,40968,23,3,0,0
42,54,Female,Lahore,77508,85,17,1,1
43,68,Female,Faisalabad,128435,80,25,0,0
44,24,Male,Multan,100366,51,13,1,1
45,38,Female,Multan,20738,45,10,1,0
46,26,Male,Faisalabad,18098,90,17,1,1
47,56,Male,Faisalabad,110424,22,3,0,1
48,35,Male,Karachi,93672,10,13,0,0
49,21,Male,Faisalabad,53244,7,22,0,0
50,42,Male,Multan,69333,73,6,0,0
51,31,Female,Faisalabad,140349,89,14,1,1
52,67,Female,Karachi,65969,15,27,0,0
53,26,Male,Karachi,105744,77,10,1,0
54,43,Female,Karachi,132286,46,20,0,1
55,19,Male,Karachi,90028,90,16,1,0
56,37,Male,Islamabad,50421,85,18,1,1
57,45,Male,Faisalabad,147526,87,13,1,1
58,64,Female,Lahore,53575,61,10,1,0
59,24,Male,Faisalabad,18192,92,6,0,1
60,61,Male,Islamabad,126116,61,10,1,0
61,25,Female,Karachi,142874,51,5,1,1
62,64,Female,Islamabad,96311,38,29,1,1
63,52,Female,Multan,95781,12,6,1,0
64,31,Male,Multan,51527,88,7,1,0
65,34,Male,Faisalabad,67181,77,11,1,1
66,53,Female,Faisalabad,106472,66,16,1,0
67,67,Male,Lahore,96219,54,25,1,1
68,57,Female,Lahore,134783,39,12,0,0
69,21,Female,Multan,98265,76,12,1,0
70,19,Male,Karachi,65126,39,23,1,1
71,23,Male,Islamabad,35545,78,20,1,0
72,59,Female,Lahore,70114,30,26,1,1
73,21,Female,Lahore,108740,48,5,0,0
74,46,Female,Karachi,28890,83,16,1,0
75,35,Female,Karachi,136284,31,29,1,1
76,43,Male,Faisalabad,67482,25,6,1,1
77,61,Female,Islamabad,147812,68,29,0,1
78,51,Female,Karachi,86591,51,9,1,1
79,27,Female,Lahore,103241,13,5,1,1
80,53,Male,Lahore,49722,63,21,1,1
81,31,Male,Multan,64431,42,23,1,0
82,48,Female,Karachi,57000,54,16,1,1
83,65,Male,Faisalabad,86975,67,18,1,0
84,32,Male,Islamabad,45921,80,19,1,0
85,25,Male,Faisalabad,114265,90,12,0,0
86,31,Female,Lahore,103747,56,2,0,0
87,40,Female,Faisalabad,32601,19,26,0,1
88,57,Male,Lahore,108332,46,10,1,0
89,38,Female,Lahore,138254,15,12,1,0
90,33,Female,Lahore,134004,32,14,1,0
91,62,Male,Lahore,43000,49,18,1,0
92,35,Male,Lahore,145439,21,19,1,1
93,64,Female,Multan,134277,65,6,1,0
94,41,Male,Faisalabad,45383,70,5,0,0
95,43,Female,Multan,55910,27,27,1,0
96,42,Female,Multan,39281,23,16,0,0
97,62,Male,Karachi,128838,47,14,0,1
98,58,Female,Karachi,19841,95,13,0,0
99,46,Female,Karachi,112204,12,21,0,0
100,32,Male,Islamabad,75155,85,2,0,0
101,62,Male,Karachi,71313,66,2,1,0
102,18,Male,Faisalabad,126688,5,12,0,1
103,42,Female,Multan,147994,9,1,1,0
104,24,Male,Faisalabad,46976,20,19,0,1
105,26,Male,Karachi,119405,82,28,0,1
106,41,Male,Islamabad,68744,63,28,1,0
107,18,Male,Islamabad,17473,86,27,1,1
108,61,Female,Multan,43715,72,16,1,1
109,25,Female,Faisalabad,52317,98,7,1,1
110,41,Male,Lahore,80516,73,27,1,0
111,28,Female,Faisalabad,69604,71,21,1,1
112,68,Male,Karachi,19889,30,7,1,0
113,34,Male,Lahore,88748,82,16,1,0
114,25,Female,Islamabad,46971,91,25,0,1
115,52,Female,Multan,65551,16,6,1,1
116,52,Male,Multan,149273,85,18,0,0
117,50,Male,Islamabad,123957,5,1,1,1
118,22,Female,Karachi,104882,29,1,1,1
119,59,Male,Islamabad,52958,47,26,0,0
120,56,Female,Karachi,20681,22,25,0,0
121,58,Male,Lahore,116982,78,14,0,0
122,45,Male,Islamabad,61870,57,6,1,1
123,24,Female,Karachi,143396,83,6,0,1
124,26,Female,Lahore,82203,35,4,0,0
125,25,Female,Islamabad,65061,88,12,1,1
126,29,Female,Multan,73235,60,18,1,1
127,51,Female,Islamabad,52890,70,10,0,1
128,50,Female,Faisalabad,105073,60,3,0,0
129,65,Female,Islamabad,76401,58,3,0,0
130,40,Male,Faisalabad,26217,3,8,0,1
131,41,Male,Lahore,63351,34,22,0,0
132,54,Male,Islamabad,48741,45,23,1,0
133,52,Female,Lahore,16408,50,25,1,1
134,61,Female,Lahore,57903,2,1,1,0
135,57,Female,Karachi,122042,15,18,1,1
136,39,Male,Lahore,147290,37,15,0,0
137,44,Female,Lahore,137189,15,25,0,0
138,52,Female,Islamabad,124268,60,21,1,0
139,18,Male,Islamabad,45105,96,20,0,0
140,52,Female,Multan,84634,85,17,1,0
141,54,Male,Karachi,132426,64,25,1,1
142,64,Male,Lahore,33226,81,11,1,0
143,31,Female,Karachi,40322,98,13,0,1
144,20,Female,Faisalabad,132504,96,25,0,0
145,18,Female,Lahore,73215,52,20,1,0
146,22,Male,Karachi,109835,23,25,1,0
147,43,Male,Multan,88079,99,10,0,1
148,31,Male,Multan,38946,37,13,1,0
149,56,Female,Lahore,125733,41,17,0,0
150,44,Female,Faisalabad,22253,57,21,0,1
151,26,Female,Multan,94311,97,1,1,0
152,32,Female,Multan,47813,25,20,1,0
153,32,Male,Faisalabad,63365,37,16,1,0
154,43,Male,Karachi,82593,40,16,1,1
155,59,Male,Multan,53485,85,28,0,0
156,30,Male,Islamabad,126504,46,21,1,1
157,68,Female,Multan,31101,60,27,0,1
158,49,Female,Karachi,23831,98,3,1,1
159,56,Female,Karachi,66897,19,2,1,0
160,66,Male,Lahore,20004,91,6,0,1
161,69,Male,Islamabad,60924,9,11,1,0
162,49,Female,Karachi,52170,69,29,1,1
163,21,Female,Faisalabad,58555,5,3,1,0
164,47,Male,Islamabad,133115,89,26,1,1
165,54,Female,Islamabad,119216,26,1,0,0
166,40,Male,Faisalabad,80930,19,11,0,0
167,56,Male,Multan,51365,30,13,0,1
168,62,Male,Faisalabad,77188,48,5,0,0
169,32,Female,Faisalabad,113633,16,18,1,0
170,60,Female,Multan,78471,71,15,1,1
171,46,Male,Multan,72287,18,18,1,1
172,53,Female,Multan,147717,56,15,1,0
173,30,Male,Multan,74076,21,20,1,0
174,49,Male,Multan,131475,31,20,0,1
175,24,Male,Faisalabad,65151,1,20,1,1
176,68,Male,Lahore,82384,3,7,1,0
177,39,Female,Lahore,114865,95,17,1,1
178,45,Male,Karachi,48541,25,29,0,0
179,19,Male,Lahore,87847,8,8,1,0
180,59,Female,Lahore,65955,65,28,0,0
181,62,Male,Faisalabad,102780,62,13,1,0
182,23,Male,Multan,114919,7,26,1,1
183,45,Female,Multan,127854,7,16,0,0
184,45,Female,Faisalabad,76768,8,25,1,0
185,61,Female,Lahore,58262,19,10,1,1
186,61,Male,Faisalabad,35605,17,29,1,0
187,37,Female,Karachi,93590,11,14,1,1
188,47,Female,Multan,43231,49,6,0,0
189,28,Male,Islamabad,94397,11,20,1,1
190,45,Male,Karachi,92123,41,22,1,0
191,42,Male,Karachi,28515,62,26,0,0
192,56,Male,Faisalabad,102211,52,7,1,1
193,50,Male,Lahore,31600,66,6,1,1
194,18,Female,Multan,84310,68,27,0,1
195,44,Female,Islamabad,129380,92,17,0,1
196,69,Female,Karachi,126780,97,21,0,0
197,30,Male,Islamabad,81177,75,24,1,0
198,58,Male,Lahore,70746,67,8,1,1
199,20,Male,Lahore,138075,40,12,0,1
200,56,Female,Islamabad,100195,5,26,1,1
201,23,Female,Multan,51818,85,25,0,1
202,25,Male,Lahore,36309,22,4,1,0
203,44,Female,Islamabad,43176,37,10,1,0
204,26,Male,Karachi,83879,11,6,1,0
205,54,Female,Islamabad,82592,44,7,0,1
206,50,Female,Islamabad,99728,86,21,1,1
207,68,Female,Faisalabad,23584,53,27,1,1
208,59,Male,Lahore,139555,77,8,1,0
209,61,Female,Multan,108302,61,3,1,0
210,41,Female,Multan,137408,67,8,0,1
211,32,Male,Faisalabad,33830,13,15,1,1
212,49,Female,Multan,92066,92,21,1,0
213,49,Male,Islamabad,18591,11,1,1,1
214,41,Male,Faisalabad,108878,11,13,1,0
215,58,Male,Karachi,140407,85,22,1,0
216,69,Male,Lahore,131869,85,18,0,1
217,66,Male,Lahore,36395,7,15,0,1
218,66,Female,Lahore,31738,17,7,0,1
219,69,Male,Islamabad,148703,48,15,0,0
220,29,Male,Karachi,34056,14,25,1,0
221,56,Male,Faisalabad,136656,63,3,1,0
222,19,Male,Faisalabad,130316,64,26,1,0
223,20,Female,Lahore,69418,97,14,1,0
224,66,Male,Karachi,52190,75,20,1,0
225,54,Female,Karachi,41014,77,4,0,0
226,66,Male,Karachi,140563,65,4,0,0
227,34,Female,Multan,16780,34,3,0,1
228,66,Male,Multan,57192,9,5,1,1
229,19,Male,Lahore,119875,77,25,0,1
230,19,Female,Karachi,114129,37,11,0,0
231,45,Male,Karachi,58923,30,8,1,0
232,40,Female,Faisalabad,104196,41,26,1,0
233,54,Male,Faisalabad,17395,45,2,1,0
234,49,Female,Lahore,117449,47,28,1,0
235,50,Male,Karachi,136747,7,16,1,0
236,18,Male,Lahore,86028,14,25,1,1
237,36,Female,Faisalabad,108176,48,28,1,1
238,19,Male,Faisalabad,41924,6,10,1,0
239,61,Male,Multan,47577,34,18,0,1
240,43,Male,Lahore,100548,80,7,0,0
241,49,Male,Lahore,140093,46,5,0,1
242,23,Male,Karachi,81555,59,29,1,1
243,49,Male,Karachi,104848,70,7,1,1
244,21,Female,Multan,23254,8,21,0,0
245,28,Female,Islamabad,140410,24,28,0,0
246,34,Female,Islamabad,118025,67,6,1,0
247,55,Male,Islamabad,145509,4,24,1,0
248,41,Female,Lahore,47963,96,1,1,1
249,22,Male,Lahore,18273,1,29,1,1
250,69,Male,Faisalabad,30330,34,11,1,1
251,51,Male,Lahore,91422,9,13,1,0
252,23,Male,Lahore,137089,63,12,0,1
253,39,Female,Lahore,18212,76,1,0,0
254,28,Male,Multan,102594,10,21,1,0
255,65,Female,Lahore,147152,10,15,1,1
256,33,Male,Karachi,47675,50,1,1,0
257,50,Female,Karachi,37007,44,3,1,0
258,26,Female,Faisalabad,128805,48,26,1,0
259,23,Female,Multan,97641,87,15,0,1
260,33,Female,Karachi,110815,6,9,1,1
261,46,Female,Multan,61815,88,14,1,0
262,20,Female,Multan,98482,24,29,0,1
263,37,Male,Faisalabad,15639,85,23,1,1
264,53,Female,Multan,78593,95,28,0,1
265,36,Male,Lahore,93038,58,22,0,1
266,43,Female,Multan,108899,64,24,1,1
267,20,Male,Faisalabad,18736,94,8,1,1
268,36,Female,Faisalabad,31473,56,22,0,0
269,37,Female,Faisalabad,143771,98,4,1,0
270,49,Male,Karachi,140801,82,20,1,0
271,24,Female,Lahore,122598,12,20,1,0
272,69,Female,Karachi,101623,35,6,0,0
273,58,Female,Islamabad,51820,71,1,0,0
274,50,Male,Lahore,72589,89,28,0,0
275,57,Female,Multan,33414,6,18,1,0
276,56,Male,Faisalabad,142378,65,6,1,0
277,35,Female,Islamabad,39220,80,14,1,1
278,57,Female,Lahore,75531,60,11,1,1
279,18,Male,Karachi,125002,68,17,1,0
280,28,Female,Faisalabad,24387,29,9,1,0
281,45,Female,Karachi,91815,38,28,1,0
282,42,Male,Lahore,42584,92,22,0,0
283,67,Female,Lahore,59783,22,7,0,0
284,40,Male,Islamabad,139494,8,14,1,1
285,48,Male,Multan,130814,63,28,1,0
286,47,Male,Karachi,145752,96,17,1,1
287,59,Female,Islamabad,88588,97,8,1,1
288,52,Male,Faisalabad,28580,13,28,1,0
289,24,Male,Multan,33240,27,16,1,0
290,33,Female,Islamabad,98446,18,12,1,0
291,43,Male,Karachi,119533,18,12,1,0
292,65,Female,Lahore,95974,77,28,0,0
293,69,Female,Faisalabad,88401,86,28,0,1
294,66,Female,Karachi,18646,62,5,1,1
295,19,Female,Multan,57816,14,5,0,1
296,18,Male,Multan,104460,11,14,1,0
297,65,Male,Lahore,59112,86,6,0,0
298,29,Male,Lahore,66048,17,7,0,0
299,22,Male,Faisalabad,147850,51,23,0,0
300,54,Male,Faisalabad,60752,96,21,0,0
301,49,Female,Lahore,85726,14,17,0,1
302,26,Male,Lahore,59788,57,27,0,0
303,58,Male,Multan,19747,93,9,1,1
304,52,Male,Lahore,15045,6,22,0,1
305,36,Female,Islamabad,22758,57,13,0,0
306,65,Female,Karachi,140076,4,9,0,1
307,33,Male,Lahore,71950,11,27,1,0
308,20,Female,Faisalabad,34455,74,16,1,0
309,37,Male,Islamabad,103552,92,4,1,1
310,41,Male,Faisalabad,61116,11,2,0,0
311,50,Female,Islamabad,135461,99,13,0,1
312,41,Female,Lahore,55484,79,13,1,1
313,69,Male,Karachi,96638,8,19,1,1
314,28,Male,Faisalabad,149476,84,12,0,1
315,66,Female,Islamabad,115647,59,4,1,0
316,25,Male,Multan,80642,21,10,0,0
317,53,Female,Lahore,61009,65,16,0,0
318,55,Male,Karachi,143824,93,28,1,0
319,57,Female,Lahore,44605,24,24,1,0
320,37,Male,Multan,125879,30,19,0,1
321,52,Male,Karachi,135827,99,8,0,0
322,65,Female,Multan,20580,97,6,1,1
323,42,Male,Lahore,129902,84,4,1,1
324,52,Male,Islamabad,20400,57,7,1,0
325,42,Female,Lahore,111032,80,14,1,0
326,46,Male,Lahore,142319,73,27,1,0
327,35,Male,Lahore,121960,95,13,0,0
328,63,Male,Faisalabad,54015,17,21,0,0
329,35,Female,Multan,86713,59,5,1,0
330,19,Female,Multan,103754,31,9,1,1
331,52,Female,Multan,58148,64,29,0,0
332,33,Male,Faisalabad,137790,48,3,1,1
333,58,Male,Islamabad,101078,23,10,0,1
334,53,Male,Lahore,71879,70,15,0,0
335,50,Male,Islamabad,134894,30,20,0,0
336,21,Female,Faisalabad,80839,55,21,1,1
337,50,Male,Multan,44756,7,17,0,1
338,31,Male,Lahore,107943,75,23,0,0
339,38,Male,Karachi,51744,98,24,1,0
340,65,Female,Karachi,139697,12,6,1,0
341,37,Male,Islamabad,131072,60,25,1,0
342,25,Male,Multan,148196,52,3,0,0
343,24,Male,Karachi,22176,27,18,1,0
344,20,Male,Islamabad,106310,12,5,1,1
345,34,Male,Faisalabad,60177,13,13,0,0
346,50,Female,Islamabad,125623,72,25,1,0
347,65,Male,Islamabad,15997,80,27,1,0
348,29,Male,Islamabad,135179,62,1,0,1
349,68,Male,Lahore,135403,29,17,1,0
350,39,Male,Islamabad,110287,35,26,1,1
351,39,Male,Islamabad,134574,60,3,1,0
352,63,Male,Lahore,136509,29,26,1,0
353,47,Male,Lahore,100447,31,19,0,0
354,55,Male,Faisalabad,124522,77,21,0,1
355,55,Male,Multan,96144,76,20,1,0
356,62,Male,Karachi,107693,61,22,1,1
357,68,Female,Karachi,109315,2,12,1,1
358,25,Female,Islamabad,42387,33,8,1,1
359,44,Female,Faisalabad,19090,72,8,0,0
360,44,Female,Islamabad,135846,62,15,1,1
361,51,Male,Karachi,55239,59,11,1,0
362,38,Female,Lahore,18743,40,20,1,0
363,47,Female,Multan,45924,49,1,1,0
364,50,Male,Faisalabad,145160,32,29,1,1
365,45,Female,Lahore,106815,38,16,1,0
366,64,Female,Multan,120312,92,14,1,0
367,50,Male,Faisalabad,83860,79,7,1,0
368,22,Male,Faisalabad,95399,87,6,1,0
369,65,Male,Karachi,63795,88,21,0,0
370,36,Female,Lahore,66553,13,4,1,0
371,21,Female,Faisalabad,118976,85,22,1,0
372,52,Male,Faisalabad,128566,54,8,0,0
373,66,Male,Multan,134968,76,22,1,1
374,34,Female,Karachi,76600,13,19,0,0
375,61,Male,Islamabad,65022,39,25,1,0
376,45,Female,Karachi,149271,23,3,1,0
377,47,Male,Islamabad,65897,92,4,1,1
378,46,Male,Lahore,53038,14,13,1,0
379,63,Female,Lahore,138323,17,21,0,0
380,23,Male,Faisalabad,135278,24,27,1,0
381,52,Male,Lahore,126054,58,2,0,1
382,58,Male,Faisalabad,22897,63,11,0,1
383,54,Female,Karachi,79541,34,16,1,0
384,41,Male,Lahore,121968,51,10,1,0
385,46,Male,Karachi,29892,86,15,0,0
386,66,Male,Karachi,39815,10,27,1,0
387,63,Male,Lahore,60612,72,10,1,1
388,48,Male,Karachi,31267,21,2,1,0
389,52,Male,Lahore,33268,37,6,1,1
390,50,Female,Lahore,129463,7,14,1,0
391,69,Female,Lahore,110347,90,2,1,1
392,38,Male,Islamabad,109542,13,10,0,0
393,49,Female,Karachi,81612,80,17,1,0
394,40,Female,Multan,103757,30,8,1,1
395,50,Male,Lahore,113075,31,26,0,0
396,20,Female,Karachi,49609,5,16,0,1
397,35,Female,Faisalabad,117785,32,14,0,1
398,42,Female,Lahore,38645,16,10,1,0
399,59,Female,Lahore,77233,73,13,1,1
400,48,Female,Multan,126443,22,1,1,0
401,20,Female,Islamabad,22771,64,10,1,0
402,57,Female,Islamabad,117601,44,22,1,1
403,63,Female,Lahore,148014,40,12,1,1
404,41,Male,Karachi,140224,37,17,0,0
405,67,Male,Faisalabad,98251,78,24,0,1
406,49,Female,Faisalabad,72042,16,14,1,1
407,64,Female,Karachi,68740,43,5,1,0
408,39,Male,Lahore,62024,84,19,1,1
409,40,Female,Faisalabad,71965,63,5,1,1
410,19,Female,Islamabad,25057,15,15,0,1
411,44,Male,Karachi,23983,44,13,1,0
412,59,Male,Multan,145469,90,17,1,1
413,19,Male,Lahore,34995,9,1,0,0
414,43,Female,Karachi,129587,65,28,1,1
415,34,Female,Faisalabad,53886,99,14,1,1
416,57,Male,Lahore,104025,44,4,1,0
417,50,Male,Islamabad,110149,20,25,1,0
418,26,Female,Lahore,109020,70,9,0,1
419,60,Male,Lahore,17673,74,17,0,1
420,65,Female,Islamabad,92513,33,3,1,0
421,56,Female,Islamabad,38466,80,13,1,0
422,46,Male,Lahore,107545,6,12,0,1
423,59,Male,Islamabad,65406,83,16,0,0
424,43,Female,Karachi,149760,31,4,1,0
425,52,Male,Islamabad,84284,66,18,1,1
426,67,Male,Islamabad,129579,18,23,1,0
427,42,Male,Lahore,28665,28,3,0,0
428,41,Male,Karachi,35641,68,17,0,0
429,30,Female,Multan,50797,65,1,0,1
430,24,Female,Multan,60950,80,19,1,0
431,53,Female,Faisalabad,144554,45,22,0,1
432,62,Female,Islamabad,117339,58,4,1,1
433,37,Male,Islamabad,128431,47,17,1,0
434,18,Male,Karachi,36173,66,7,0,1
435,25,Female,Multan,33095,52,2,1,0
436,63,Female,Faisalabad,138554,36,12,1,1
437,33,Male,Karachi,147511,1,5,1,0
438,31,Female,Islamabad,140614,39,16,1,1
439,29,Female,Multan,104023,87,8,0,0
440,68,Male,Faisalabad,122181,90,23,0,0
441,40,Female,Lahore,35600,75,27,1,1
442,32,Male,Multan,17466,1,28,1,0
443,45,Male,Faisalabad,124934,75,8,0,1
444,51,Female,Karachi,68276,88,13,1,0
445,19,Male,Lahore,21928,74,26,1,0
446,49,Female,Faisalabad,70309,14,14,0,1
447,40,Male,Faisalabad,131196,78,11,1,0
448,39,Female,Islamabad,24404,71,6,0,1
449,68,Female,Multan,128187,23,16,1,0
450,42,Female,Islamabad,125449,43,23,1,0
451,39,Male,Lahore,42684,22,25,0,1
452,39,Male,Faisalabad,83591,60,22,1,0
453,66,Female,Islamabad,134821,27,25,1,0
454,69,Male,Multan,17682,56,15,1,1
455,59,Female,Lahore,126186,2,16,0,0
456,23,Female,Karachi,36832,39,13,1,0
457,32,Male,Islamabad,31997,51,12,1,1
458,60,Female,Lahore,49640,19,18,1,1
459,54,Male,Karachi,55491,62,29,1,0
460,50,Female,Islamabad,78043,71,18,0,0
461,25,Male,Lahore,127175,76,14,0,1
462,61,Female,Lahore,143568,67,2,1,0
463,61,Female,Islamabad,129250,63,22,0,0
464,22,Male,Lahore,87725,5,2,1,1
465,56,Female,Faisalabad,143131,72,3,1,0
466,21,Female,Islamabad,60520,78,29,1,1
467,23,Male,Lahore,77919,61,24,1,1
468,62,Female,Karachi,124869,71,8,1,1
469,49,Male,Karachi,79442,7,11,1,1
470,69,Female,Faisalabad,120246,50,12,0,0
471,47,Male,Islamabad,124687,46,4,0,0
472,64,Female,Lahore,138447,96,9,0,1
473,52,Female,Lahore,76477,72,24,1,0
474,57,Female,Karachi,15244,76,17,1,1
475,69,Male,Faisalabad,94453,74,24,0,0
476,33,Male,Karachi,142962,14,16,1,1
477,30,Male,Karachi,86303,73,17,0,0
478,67,Male,Faisalabad,43390,94,15,1,0
479,59,Female,Islamabad,25247,69,20,0,0
480,47,Female,Lahore,44583,65,26,1,1
481,36,Male,Islamabad,43670,65,22,1,0
482,34,Male,Multan,139920,57,7,1,1
483,36,Male,Multan,25236,62,10,0,0
484,45,Female,Multan,50568,20,29,1,0
485,43,Male,Faisalabad,122327,75,4,0,1
486,54,Male,Karachi,125188,26,24,1,0
487,43,Female,Islamabad,31352,44,24,1,0
488,40,Female,Lahore,140721,67,14,1,0
489,26,Male,Multan,70904,70,14,1,1
490,29,Female,Islamabad,137141,62,14,1,1
491,18,Male,Multan,31108,45,25,1,0
492,18,Female,Multan,17853,11,14,0,0
493,64,Male,Lahore,99156,72,22,1,0
494,51,Male,Faisalabad,19176,93,20,0,1
495,49,Male,Karachi,115459,74,18,0,0
496,65,Male,Faisalabad,138225,34,15,1,1
497,42,Female,Islamabad,133458,88,23,1,0
498,57,Female,Faisalabad,125893,46,26,0,1
499,62,Female,Islamabad,88927,81,19,1,0
500,18,Female,Islamabad,133178,32,27,0,1
501,33,Male,Karachi,55667,75,13,1,0
502,56,Male,Lahore,21611,98,12,1,0
503,22,Female,Karachi,103242,88,19,1,1
504,39,Female,Faisalabad,99612,5,19,1,1
505,46,Female,Islamabad,61902,63,20,0,0
506,20,Female,Multan,48043,29,2,1,1
507,29,Female,Multan,87867,48,29,0,0
508,43,Male,Islamabad,92089,98,29,0,0
509,33,Male,Karachi,73745,16,21,1,0
510,68,Male,Lahore,100970,25,3,0,0
511,54,Female,Karachi,39464,72,10,1,1
512,39,Female,Islamabad,133523,29,5,1,0
513,46,Female,Islamabad,35662,52,12,0,0
514,31,Female,Lahore,33228,46,29,1,0
515,45,Male,Faisalabad,75721,25,7,1,0
516,22,Male,Faisalabad,21862,23,9,1,1
517,64,Female,Lahore,55108,34,2,1,1
518,66,Male,Faisalabad,106788,67,25,0,0
519,47,Male,Multan,95140,94,10,1,0
520,63,Female,Faisalabad,83578,34,6,1,1
521,69,Female,Faisalabad,64966,32,12,1,0
522,22,Female,Faisalabad,25386,29,6,0,0
523,29,Female,Multan,92228,9,27,0,0
524,33,Female,Faisalabad,87197,66,3,1,0
525,43,Female,Multan,58021,57,10,1,1
526,43,Male,Lahore,133915,39,29,1,1
527,65,Male,Karachi,132174,7,9,1,1
528,38,Female,Lahore,101755,69,20,1,0
529,56,Male,Karachi,81330,8,5,1,0
530,53,Female,Lahore,87322,96,3,0,1
531,50,Female,Karachi,117318,18,5,1,1
532,47,Female,Karachi,60313,82,8,0,1
533,54,Female,Islamabad,42032,49,8,0,0
534,40,Male,Karachi,76710,16,14,1,1
535,27,Female,Karachi,110326,21,24,0,0
536,22,Male,Islamabad,101157,10,22,1,0
537,53,Female,Faisalabad,43365,4,17,0,1
538,51,Female,Faisalabad,28189,44,11,0,1
539,69,Female,Islamabad,22248,8,26,1,1
540,48,Male,Multan,19369,55,16,1,1
541,27,Female,Karachi,43605,19,28,1,0
542,36,Female,Karachi,64616,64,6,1,0
543,49,Female,Islamabad,118719,40,28,0,1
544,18,Male,Islamabad,48055,51,11,1,0
545,22,Male,Multan,131680,9,10,0,0
546,62,Male,Faisalabad,22450,30,23,1,0
547,21,Female,Lahore,148997,56,9,1,0
548,33,Male,Faisalabad,65272,81,28,1,1
549,41,Female,Karachi,20310,44,24,1,0
550,33,Male,Islamabad,46817,59,27,0,0
551,19,Male,Multan,97641,15,28,1,1
552,66,Female,Faisalabad,30457,68,24,0,0
553,45,Male,Multan,57311,70,15,0,1
554,49,Female,Faisalabad,138573,61,7,1,0
555,44,Female,Karachi,112427,80,18,0,1
556,37,Male,Lahore,51181,90,1,0,0
557,41,Female,Multan,147019,23,15,1,0
558,29,Female,Multan,146094,77,2,1,0
559,67,Male,Lahore,16128,47,22,0,0
560,52,Male,Multan,94522,17,29,1,1
561,50,Female,Multan,63929,57,2,1,0
562,50,Male,Faisalabad,96696,54,10,1,1
563,68,Female,Faisalabad,130245,91,20,1,0
564,60,Female,Lahore,24808,52,15,1,1
565,54,Male,Karachi,110148,22,10,1,1
566,29,Male,Multan,36725,83,19,1,0
567,20,Male,Karachi,87534,39,22,0,0
568,18,Male,Lahore,54950,99,28,1,1
569,50,Female,Lahore,98576,13,28,1,0
570,57,Female,Faisalabad,35557,78,13,1,0
571,27,Male,Multan,36825,95,24,0,1
572,60,Male,Islamabad,23998,66,11,1,1
573,61,Female,Lahore,51080,52,22,1,1
574,46,Female,Multan,57407,14,2,1,1
575,30,Female,Karachi,135283,73,21,1,0
576,29,Female,Faisalabad,28338,74,27,1,1
577,48,Male,Karachi,91289,63,13,0,0
578,63,Female,Lahore,146029,71,22,1,0
579,19,Female,Lahore,124367,28,25,1,1
580,68,Male,Karachi,80898,89,22,0,0
581,67,Female,Lahore,149526,46,26,0,0
582,52,Female,Multan,132486,28,21,1,1
583,40,Male,Lahore,101540,2,1,1,0
584,34,Male,Faisalabad,140416,17,26,1,0
585,43,Male,Multan,54963,59,5,0,0
586,25,Female,Islamabad,109929,52,21,0,0
587,46,Female,Lahore,89935,4,22,0,1
588,43,Male,Lahore,28686,77,7,1,0
589,27,Male,Faisalabad,78528,82,13,1,0
590,43,Female,Faisalabad,114811,3,13,1,0
591,51,Male,Karachi,37787,37,20,1,1
592,68,Male,Karachi,130613,97,23,0,1
593,58,Male,Karachi,119887,24,21,0,0
